state_fips,year,dem_prop,rep_prop
47,2000,0.33099932,0.66900068
47,2002,0.449600859,0.550399141
47,2006,0.48620494,0.51379506
47,2008,0.326940704,0.673059296
47,2012,0.319067949,0.680932051
47,2014,0.339961256,0.660038744
47,2018,0.445313979,0.554686021
48,1976,0.573453872,0.426546128
48,1978,0.497330961,0.502669039
48,1982,0.591295494,0.408704506
48,1984,0.414489344,0.585510656
48,1988,0.596663329,0.403336671
48,1990,0.383133597,0.616866403
48,1994,0.386352385,0.613647615
48,1996,0.445119689,0.554880311
48,2000,0.3317548,0.6682452
48,2002,0.439298643,0.560701357
48,2006,0.368794242,0.631205758
48,2008,0.438648611,0.561351389
48,2012,0.418454515,0.581545485
48,2014,0.358245431,0.641754569
48,2018,0.487062593,0.512937407
49,1976,0.435553291,0.564446709
49,1980,0.257081217,0.742918783
49,1982,0.415045744,0.584954256
49,1986,0.268576317,0.731423683
49,1988,0.321040393,0.678959607
49,1992,0.417619926,0.582380074
49,1994,0.291407776,0.708592224
49,1998,0.340066358,0.659933642
49,2000,0.324562601,0.675437399
49,2004,0.292407929,0.707592071
49,2006,0.332508895,0.667491105
49,2010,0.347255653,0.652744347
49,2012,0.314621134,0.685378866
49,2016,0.28421453,0.71578547
49,2018,0.330605299,0.669394701
50,1976,0.475580447,0.524419553
50,1980,0.5067,0.4933
50,1982,0.484403715,0.515596285
50,1986,0.646740065,0.353259935
50,1988,0.30454776,0.69545224
50,1992,0.555467023,0.444532977
50,1994,0.446362015,0.553637985
50,1998,0.762849303,0.237150697
50,2000,0.279452159,0.720547841
50,2004,0.742114444,0.257885556
50,2006,0,1
50,2010,0.675421913,0.324578087
50,2012,0,1
50,2016,0.649733,0.350267
50,2018,0,1
51,1976,1,0
51,1978,0.498067924,0.501932076
51,1982,0.488084018,0.511915982
51,1984,0.299472535,0.700527465
51,1988,0.712897862,0.287102138
51,1990,0,1
51,1994,0.515424404,0.484575596
51,1996,0.474537425,0.525462575
51,2000,0.47710941,0.52289059
51,2002,0,1
51,2006,0.501991773,0.498008227
51,2008,0.658483496,0.341516504
51,2012,0.52957694,0.47042306
51,2014,0.504162036,0.495837964
51,2018,0.581599503,0.418400497
53,1976,0.747658548,0.252341452
53,1980,0.458265567,0.541734433
53,1982,0.739583268,0.260416732
53,1986,0.509989446,0.490010554
53,1988,0.489133057,0.510866943
53,1992,0.539918839,0.460081161
53,1994,0.442514968,0.557485032
53,1998,0.584139988,0.415860012
53,2000,0.500465025,0.499534975
53,2004,0.562652035,0.437347965
53,2006,0.587405573,0.412594427
53,2010,0.523648258,0.476351742
53,2012,0.604509912,0.395490088
53,2016,0.590130104,0.409869896
53,2018,0.584337599,0.415662401
54,1976,1,0
54,1978,0.504780572,0.495219428
54,1982,0.6900442,0.3099558
54,1984,0.520553947,0.479446053
54,1988,0.647679368,0.352320632
54,1990,0.683231719,0.316768281
54,1994,0.690116787,0.309883213
54,1996,0.766479633,0.233520367
54,2000,0.794135567,0.205864433
54,2002,0.631113546,0.368886454
54,2006,0.770490216,0.229509784
54,2008,0.637378256,0.362621744
54,2010,0.551955603,0.448044397
54,2012,0.624172565,0.375827435
54,2014,0.356839655,0.643160345
54,2018,0.51694709,0.48305291
55,1976,0.728016251,0.271983749
55,1980,0.490601336,0.509398664
55,1982,0.650912247,0.349087753
55,1986,0.482295463,0.517704537
55,1988,0.522737852,0.477262148
55,1992,0.533273891,0.466726109
55,1994,0.588946802,0.411053198
55,1998,0.510843806,0.489156194
55,2000,0.624300814,0.375699186
55,2004,0.556497539,0.443502461
55,2006,0.695436076,0.304563924
55,2010,0.475507559,0.524492441
55,2012,0.528521503,0.471478497
55,2016,0.482667356,0.517332644
55,2018,0.554185625,0.445814375
56,1976,0.4541347,0.5458653
56,1978,0.621667017,0.378332983
56,1982,0.433432422,0.566567578
56,1984,0.216829501,0.783170499
56,1988,0.49634734,0.50365266
56,1990,0.360637434,0.639362566
56,1994,0.400356492,0.599643508
56,1996,0.438458018,0.561541982
56,2000,0.230019198,0.769980802
56,2002,0.270460498,0.729539502
56,2006,0.299053644,0.700946356
56,2008,0.254203895,0.745796105
56,2012,0.222517407,0.777482593
56,2014,0.19463861,0.80536139
56,2018,0.310109047,0.689890953
